trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
636,False,"{'a': 0.5, 'e': 0.5415470907320324}",25,8,-13.783029529381405,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
637,False,"{'a': 0.5, 'e': 0.540226571291385}",20,8,24.25019712538818,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
638,False,"{'a': 0.5, 'e': 0.5389047202465354}",20,14,9.295909787314434,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
639,False,"{'a': 0.5, 'e': 0.5375815408557136}",20,0,-70.840986596724,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
640,False,"{'a': 0.5, 'e': 0.5362570363804242}",20,3,-35.74457243724287,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
641,False,"{'a': 0.5, 'e': 0.5349312100854372}",30,11,-15.751915061330337,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
642,False,"{'a': 0.5, 'e': 0.5336040652387812}",30,16,16.087481489318208,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
643,False,"{'a': 0.5, 'e': 0.5322756051117352}",25,7,10.028173129315514,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
644,False,"{'a': 0.5, 'e': 0.5309458329788195}",30,23,1.0775406961596805,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
645,False,"{'a': 0.5, 'e': 0.5296147521177889}",20,16,5.290963772683282,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
646,False,"{'a': 0.5, 'e': 0.5282823658096241}",20,14,11.450065949878002,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
647,False,"{'a': 0.5, 'e': 0.5269486773385231}",30,17,-37.30781696464686,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
648,False,"{'a': 0.5, 'e': 0.5256136899918942}",20,9,-1.9666260762634895,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
649,False,"{'a': 0.5, 'e': 0.5242774070603471}",20,0,4.177820348700773,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
650,False,"{'a': 0.5, 'e': 0.5229398318376847}",25,11,5.245580297117895,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
651,False,"{'a': 0.5, 'e': 0.5216009676208954}",20,4,13.691264799937011,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
652,False,"{'a': 0.5, 'e': 0.5202608177101452}",20,3,2.094603593318601,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
653,False,"{'a': 0.5, 'e': 0.518919385408769}",25,3,-15.02475123656534,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
654,False,"{'a': 0.5, 'e': 0.5175766740232622}",25,0,-42.0115392412293,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
655,False,"{'a': 0.5, 'e': 0.5162326868632738}",20,9,12.870535394258539,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
656,False,"{'a': 0.5, 'e': 0.514887427241597}",20,9,8.948161787960537,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
657,False,"{'a': 0.5, 'e': 0.5135408984741614}",30,12,-11.417928024999942,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
658,False,"{'a': 0.5, 'e': 0.512193103880025}",25,15,10.87579276715702,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
659,False,"{'a': 0.5, 'e': 0.5108440467813665}",20,9,9.144652365604493,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
660,False,"{'a': 0.5, 'e': 0.5094937305034755}",25,15,-22.824058794018296,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
661,False,"{'a': 0.5, 'e': 0.5081421583747462}",30,10,-27.14652892795342,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
